                           Logit Regression Results                           
==============================================================================
Dep. Variable:           SevereInjury   No. Observations:                10044
Model:                          Logit   Df Residuals:                    10023
Method:                           MLE   Df Model:                           20
Date:                Wed, 15 Oct 2025   Pseudo R-squ.:                 0.02015
Time:                        11:55:09   Log-Likelihood:                -5664.8
converged:                      False   LL-Null:                       -5781.3
Covariance Type:            nonrobust   LLR p-value:                 2.994e-38
=========================================================================================
                            coef    std err          z      P>|z|      [0.025      0.975]
-----------------------------------------------------------------------------------------
Intercept                 0.7955      0.063     12.563      0.000       0.671       0.920
UserAgeRange_0_to_4      -0.8890      0.204     -4.365      0.000      -1.288      -0.490
UserAgeRange_10_to_14     0.2413      0.176      1.368      0.171      -0.104       0.587
UserAgeRange_15_to_19    -0.1589      0.105     -1.514      0.130      -0.365       0.047
UserAgeRange_25_to_29     0.2701      0.095      2.841      0.005       0.084       0.457
UserAgeRange_30_to_34     0.1843      0.100      1.849      0.065      -0.011       0.380
UserAgeRange_35_to_39     0.1533      0.102      1.505      0.132      -0.046       0.353
UserAgeRange_40_to_44     0.2011      0.106      1.896      0.058      -0.007       0.409
UserAgeRange_45_to_49     0.1770      0.105      1.679      0.093      -0.030       0.384
UserAgeRange_5_to_9      -0.4350      0.190     -2.292      0.022      -0.807      -0.063
UserAgeRange_50_to_54     0.2763      0.105      2.621      0.009       0.070       0.483
UserAgeRange_55_to_59     0.3255      0.110      2.948      0.003       0.109       0.542
UserAgeRange_60_to_64     0.5178      0.125      4.153      0.000       0.273       0.762
UserAgeRange_65_to_69     0.5771      0.133      4.346      0.000       0.317       0.837
UserAgeRange_70_to_74     0.7008      0.146      4.807      0.000       0.415       0.986
UserAgeRange_75_to_79     0.7824      0.158      4.968      0.000       0.474       1.091
UserAgeRange_80_to_84     1.0142      0.188      5.386      0.000       0.645       1.383
UserAgeRange_85_to_89     1.4076      0.250      5.632      0.000       0.918       1.897
UserAgeRange_90_to_94     2.4626      0.723      3.404      0.001       1.045       3.880
UserAgeRange_Over_95      5.2821      6.976      0.757      0.449      -8.391      18.955
UserAgeRange_unknown     -0.6338      0.191     -3.319      0.001      -1.008      -0.259
=========================================================================================AgeRange,PredProb_Severe
UserAgeRange_Over_95,0.9977114281663821
UserAgeRange_90_to_94,0.9629629629629622
UserAgeRange_85_to_89,0.9005235602094237
UserAgeRange_80_to_84,0.8593155893536121
UserAgeRange_75_to_79,0.8289085545722712
UserAgeRange_70_to_74,0.8170103092783503
UserAgeRange_65_to_69,0.7978021978021977
UserAgeRange_60_to_64,0.7880539499036611
UserAgeRange_55_to_59,0.7541729893778452
UserAgeRange_50_to_54,0.7449392712550608
UserAgeRange_25_to_29,0.7437619961612284
UserAgeRange_10_to_14,0.738219895287958
UserAgeRange_40_to_44,0.7303851640513552
UserAgeRange_30_to_34,0.7270588235294118
UserAgeRange_45_to_49,0.7256011315417256
UserAgeRange_35_to_39,0.7208706786171574
UserAgeRange_15_to_19,0.653968253968254
UserAgeRange_5_to_9,0.5891472868217051
UserAgeRange_unknown,0.5403225806451609
UserAgeRange_0_to_4,0.47663551401869125
OR,2.5%,97.5%,pval
196.77711226327705,0.00022694392716816184,170620260.22834495,0.4489490610152016
11.735660374067022,2.84307316777179,48.44255363409695,0.0006629349135098315
4.086100373157016,2.503718674800974,6.6685672106675975,1.7771971642492936e-08
2.7570262417247426,1.9061193480438592,3.987784765607426,7.223816482021939e-08
2.21546970270656,1.956899235446221,2.5082057955280876,3.38237414785191e-36
2.186817350870625,1.605978489095462,2.9777298753000667,6.778580747104783e-07
2.0152786232824074,1.514456847093361,2.681719150501927,1.5295321475096207e-06
1.780955148740143,1.372841111374082,2.310392088017642,1.3847122216814824e-05
1.6782815010466852,1.3144274785914354,2.142855990635456,3.2846116697887665e-05
1.3847633442334848,1.11526873506069,1.719378889813813,0.003199394078996148
1.318291519431246,1.0722194934723996,1.620836536534279,0.008755288189472105
1.3101608743736883,1.0873544377680406,1.5786218891634338,0.004503652378499261
1.2728677790334504,0.9008834652159028,1.7984483514893448,0.17128162979591788
1.2227631484579662,0.9932188774988808,1.5053577324183742,0.05798345188686217
1.2023604295712171,0.9889622988373975,1.4618055757010968,0.06451177848438264
1.1935752918113627,0.9707705212221942,1.467516726227934,0.09323728021394535
1.1656980929075291,0.9547603143445936,1.4232389254061637,0.13221947815134952
0.8530508246499156,0.6943911868320544,1.0479621908160848,0.13008418129772734
0.6472497738963079,0.4461583051733497,0.9389767375193213,0.02192558132177285
0.5305595445765903,0.3648884393699093,0.7714506681203789,0.0009048383295545818
0.41107052134438915,0.27578274951906334,0.612724957645211,1.2698641423178517e-05
